Chemical Elements Table,,,,,,,,,
Element,"Sym-
bol","Atomic
no.","Atomic
wt.","Specific
gravity","Melting
point
 °C","Boiling
point
 °C","No. of
isotopes1",Discoverer,Year
Actinium ,Ac ,89,2272,10.073,1051,3198,11,Debierne/Giesel,1899/1902
Aluminum ,Al ,13,26.981538,2.6989,660.32,2519,8,Wöhler ,1827
Americium ,Am ,95,2432,13.67,1176,2011,134,Seaborg et al. ,1944
Antimony ,Sb ,51,121.76,6.61,630.63,1587,29,Early historic times ,—
Argon ,Ar ,18,39.948,1.78375,-189.35,-185.85,8,Rayleigh and Ramsay ,1894
Arsenic (gray) ,As ,33,74.9216,5.73,817,603,14,Albertus Magnus ,1250
Astatine ,At ,85,2102,— ,302,—,21,Corson et al. ,1940
Barium ,Ba ,56,137.327,3.5,727,1897,25,Davy ,1808
Berkelium ,Bk ,97,2472,14.006,1050 (α form),—,84,Seaborg et al. ,1949
Beryllium ,Be ,4,9.012182,1.848,1287,2471,6,Vauquelin ,1798
Bismuth ,Bi ,83,208.98038,9.747,271.4,1564,19,Geoffroy the Younger,1753
Bohrium,Bh,107,2642,—,—,—,—,Armbruster and Münzenberg,1981
Boron,B ,5,10.811,2.377,2075,4000,6,"Gay-Lussac and
Thénard; Davy ",1808
Bromine ,Br ,35,79.904,3.125,-7.2,58.8,19,Balard ,1826
Cadmium ,Cd ,48,112.411,8.65,321.07,767,22,Stromeyer ,1817
Calcium,Ca ,20,40.078,1.55,842,1484,14,Davy ,1808
Californium ,Cf ,98,2512,— ,900,— ,124,Seaborg et al. ,1950
Carbon,C ,6,12.0107, 1.8–3.58 ,4492 (graphite),3825,7,Prehistoric ,—
Cerium ,Ce ,58,140.116,6.771,798,3443,19,Berzelius and Hisinger; Klaproth ,1803
Cesium ,Cs ,55,132.90545,1.873,28.5,671,22,Bunsen and Kirchoff ,1860
Chlorine ,Cl ,17,35.453,1.565,-101.5,-34.04,11,Scheele ,1774
Chromium ,Cr ,24,51.9961, 7.18-7.20 ,1907,2671,9,Vauquelin ,1797
Cobalt,Co ,27,58.9332,8.9,1495,2927,14,Brandt ,c.1735
Copper,Cu ,29,63.546,8.96,1084.62,2562,11,Prehistoric ,—
Curium ,Cm ,96,2472,13.513,1345,3100,134,Seaborg et al. ,1944
Darmstadtium,Ds,110,2812,— ,— ,— ,— ,S. Hofmann et al.,1994
Dubnium ,Db,105,2622,— ,— ,— ,— ,Ghiorso et al. ,1970
Dysprosium ,Dy ,66,162.5,8.54,1412,2567,21,de Boisbaudran ,1886
Einsteinium ,Es ,99,2522,— ,860,— ,124,Ghiorso et al. ,1952
Erbium ,Er ,68,167.259,9.045,1529,2868,16,Mosander ,1843
Europium ,Eu ,63,151.964,5.283,822,1529,21,Demarcay ,1901
Fermium ,Fm ,100,2572,— ,1527,— ,104,Ghiorso et al. ,1953
Fluorine ,F ,9,18.9984032,1.1085,-219.67,-188.12,6,Moissan ,1886
Francium ,Fr ,87,2232,— ,27,—,21,Perey ,1939
Gadolinium ,Gd ,64,157.25,7.898,1313,3273,17,de Marignac ,1880
Gallium ,Ga ,31,69.723,5.904,29.76,2204,14,de Boisbaudran ,1875
Germanium ,Ge ,32,72.64,5.323,938.25,2833,17,Winkler ,1886
Gold ,Au ,79,196.96655,19.32,1064.18,2856,21,Prehistoric ,—
Hafnium ,Hf ,72,178.49,13.31,2233,4603,17,Coster and von Hevesy ,1923
Hassium,Hs,108,2772,—,—,—,—,Armbruster and Münzenberg,1983
Helium ,He ,2,4.002602,0.17855,-272.2,-268.934,5,Janssen ,1868
Holmium ,Ho ,67,164.93032,8.781,1474,2700,29,Delafontaine and Soret ,1878
Hydrogen ,H ,1,1.00794,0.0705,-259.34,-252.87,3,Cavendish ,1766
Indium ,In ,49,114.818,7.31,156.6,2072,34,Reich and Richter ,1863
Iodine ,I ,53,126.90447,4.93,113.7,184.4,24,Courtois ,1811
Iridium ,Ir ,77,192.217,22.42,2446,4428,25,Tennant ,1804
Iron ,Fe ,26,55.845,7.894,1538,2861,10,Prehistoric ,—
Krypton ,Kr ,36,83.8,3.7335,-157.38,-153.22,23,Ramsay and Travers ,1898
Lanthanum ,La ,57,138.9055,6.166,918,3464,19,Mosander ,1839
Lawrencium ,Lr ,103,2622,— ,1627,— ,204,Ghiorso et al. ,1961
Lead,Pb ,82,207.2,11.35,327.46,1749,29,Prehistoric ,—
Lithium,Li ,3,6.941,0.534,180.5,1342,5,Arfvedson ,1817
Lutetium ,Lu ,71,174.967,9.835,1663,3402,22,Urbain/ von Welsbach,1907
Magnesium,Mg ,12,24.305,1.738,650,1090,8,Black ,1755
Manganese,Mn ,25,54.938049, 7.21–7.449 ,1246,2061,11,"Gahn, Scheele, and
Bergman ",1774
Meitnerium,Mt,109,2682,—,—,—,—,"GSI, Darmstadt, 
West Germany",1982
Mendelevium,Md ,101,2582,— ,827,— ,34,Ghiorso et al. ,1955
Mercury ,Hg ,80,200.59,13.546,-38.83,356.73,26,Prehistoric ,—
Molybdenum ,Mo ,42,95.94,10.22,2623,4639,20,Scheele ,1778
Neodymium ,Nd ,60,144.24, 6.80 & 7.00410 ,1021,3074,16,von Welsbach ,1885
Neon ,Ne ,10,20.1797," 0.89990
(g/10°C/1 atm) ",-248.59,-246.08,8,Ramsay and Travers ,1898
Neptunium,Np ,93,2372,20.25,644, ,154,McMillan and Abelson ,1940
Nickel ,Ni ,28,58.6934,8.902,1455,2913,11,Cronstedt ,1751
"Niobium
 (Columbium) ",Nb ,41,92.90638,8.57,2477,4744,24,Hatchett ,1801
Nitrogen,N ,7,14.0067,0.8085,-210,-195.79,8,Rutherford ,1772
Nobelium ,No ,102,2592,— ,827,— ,74,Ghiorso et al. ,1958
Osmium ,Os ,76,190.23,22.57,3033,5012,19,Tennant ,1803
Oxygen ,O ,8,15.9994,1.145,-218.79,-182.95,8,Priestley/Scheele,1774
Palladium ,Pd ,46,106.42,12.02,1554.9,2963,21,Wollaston ,1803
"Phosphorous 
 (white) ",P ,15,30.973761,1.82,44.15,280.5,7,Brand ,1669
Platinum ,Pt ,78,195.078,21.45,1768.4,3825,32,Ulloa/Wood,1735/1741
Plutonium ,Pu ,94,2442,19.84,640,3228,164,Seaborg et al. ,1940
Polonium ,Po ,84,2092,9.32,254,962,34,Curie ,1898
Potassium ,K ,19,39.0983,0.862,63.5,759,10,Davy ,1807
Praseodymium ,Pr ,59,140.90765,6.772,931,3520,15,von Welsbach ,1885
Promethium ,Pm ,61,1452,— ,1042,3000,14,Marinsky et al. ,1945
Protactinium ,Pa ,91,231.03588,15.373,1572,— ,14,Hahn and Meitner ,1917
Radium ,Ra ,88,2262, 5.0? ,700,—,15,Pierre and Marie Curie ,1898
Radon ,Rn ,86,2222,4.45,-71,-61.7,20,Dorn ,1900
Rhenium ,Re ,75,186.207,21.02,3186,5596,21,"Noddack, Berg, and Tacke ",1925
Rhodium ,Rh ,45,102.9055,12.41,1964,3695,20,Wollaston ,1803
Roentgenium10,Rg ,111,2722,—,—,—,— ,Hofmann et al.,1994
Rubidium ,Rb ,37,85.4678,1.532,39.3,688,20,Bunsen and Kirchoff ,1861
Ruthenium ,Ru ,44,101.07,12.44,2334,4150,16,Klaus ,1844
Rutherfordium ,Rf ,104,2612,— ,— ,— ,— ,Ghiorso et al. ,1969
Samarium ,Sm ,62,150.36,7.536,1074,1794,17,Boisbaudran ,1879
Scandium ,Sc ,21,44.95591,2.989,1541,2836,15,Nilson ,1878
Seaborgium ,Sg ,106,2662,— ,— ,— ,— ,Ghiorso et al. ,1974
"Selenium
  (gray) ",Se ,34,78.96,4.79,220.5,685,20,Berzelius ,1817
Silicon ,Si ,14,28.0855,2.33,1414,3265,8,Berzelius ,1824
Silver ,Ag ,47,107.8682,10.5,961.78,2162,27,Prehistoric ,—
Sodium ,Na ,11,22.98977,0.971,97.8,883,7,Davy ,1807
Strontium ,Sr ,38,87.62,2.54,777,1382,18,Davy ,1808
Sulfur ,S ,16,32.065,2.071,  95.3 (rhombic),444.6,10,Prehistoric ,—
Tantalum ,Ta ,73,180.9479,16.654,3017,5458,19,Ekeberg ,1801
Technetium ,Tc ,43,982,11.503,2157,4265,23,Perrier and Segré ,1937
Tellurium ,Te ,52,127.6,6.24,449.51,988,29,von Reichenstein ,1782
Terbium ,Tb ,65,158.92534,8.234,1356,3230,24,Mosander ,1843
Thallium ,Tl ,81,204.3833,11.85,304,1473,28,Crookes ,1861
Thorium ,Th ,90,232.0381,11.72,1750,4788,12,Berzelius ,1828
Thulium ,Tm ,69,168.93421,9.314,1545,1950,18,Cleve ,1879
Tin (white) ,Sn ,50,118.71,7.31,231.93,2602,28,Prehistoric ,—
Titanium ,Ti ,22,47.867,4.55,1668,3287,9,Gregor ,1791
Tungsten,W ,74,183.84,19.3,3422,5555,22,J. and F. d'Elhuyar ,1783
Uranium ,U ,92,238.02891,19.05,1135,4131,15,Peligot ,1841
Vanadium ,V ,23,50.9415,6.11,1910,3407,9,del Rio ,1801
Xenon ,Xe ,54,131.293,3.525,-111.79,-108.12,31,Ramsay and Travers ,1898
Ytterbium ,Yb ,70,173.04,6.972,819,1196,16,Marignac ,1878
Yttrium ,Y ,39,88.90585,4.457,1522,3345,21,Gadolin ,1794
Zinc ,Zn ,30,65.39,7.133,419.5,907,15,Prehistoric ,—
Zirconium ,Zr ,40,91.224,6.5063,1855,4409,20,Klaproth ,1789
Read more: Chemical Elements Table | Infoplease.com http://www.infoplease.com/ipa/A0001826.html#ixzz2tcFdFlo3,,,,,,,,,
